ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000001.SH,20190108,2526.4622,2530.3001,2531.345,2520.1648,2533.0886,-6.6264,-0.2616,158099181.0,123379039.8
000001.SH,20190107,2533.0887,2528.6987,2536.9775,2515.5083,2514.8682,18.2205,0.7245,177305010.0,145513241.6
000001.SH,20190104,2514.8682,2446.0193,2515.316,2440.9066,2464.3628,50.5054,2.0494,168877667.0,139298675.0
000001.SH,20190103,2464.3628,2461.7829,2488.479,2455.9256,2465.291,-0.9282,-0.0377,124397497.0,106922789.5
000001.SH,20190102,2465.291,2497.8805,2500.2783,2456.4233,2493.8962,-28.6052,-1.147,109932013.0,97592572.0
000001.SH,20181228,2493.8962,2483.6171,2505.1138,2478.325,2483.0864,10.8098,0.4353,119245250.0,105980853.0
000001.SH,20181227,2483.0864,2527.7167,2532.0022,2483.0864,2498.2939,-15.2075,-0.6087,135406843.0,112479760.5
000001.SH,20181226,2498.2939,2501.1199,2513.8264,2492.0758,2504.819,-6.5251,-0.2605,108799629.0,93989532.6
000001.SH,20181225,2504.819,2503.9498,2513.9641,2462.8448,2527.007,-22.188,-0.878,140670560.0,114766008.8
000001.SH,20181224,2527.0071,2506.7372,2529.4395,2500.443,2516.2505,10.7566,0.4275,97339852.0,85760935.8
000001.SH,20181221,2516.2506,2526.5535,2527.4214,2498.6937,2536.2675,-20.0169,-0.7892,115671200.0,101360622.8
000001.SH,20181220,2536.2675,2544.5054,2554.8586,2516.0193,2549.5634,-13.2959,-0.5215,120566496.0,103504982.7
000001.SH,20181219,2549.5634,2578.675,2579.8743,2547.0783,2576.6495,-27.0861,-1.0512,107661797.0,93713175.0
000001.SH,20181218,2576.6495,2583.6343,2599.1479,2563.5731,2597.9737,-21.3242,-0.8208,117033370.0,99306536.4
000001.SH,20181217,2597.9737,2587.2632,2598.967,2573.8674,2593.7406,4.2331,0.1632,117363250.0,102960848.5
000001.SH,20181214,2593.7407,2627.2833,2629.1641,2593.7407,2634.0491,-40.3084,-1.5303,145942488.0,123724985.2
000001.SH,20181213,2634.0491,2607.144,2645.8367,2599.4586,2602.1526,31.8965,1.2258,150738115.0,132396107.0
000001.SH,20181212,2602.1526,2608.1141,2610.0086,2595.075,2594.0881,8.0645,0.3109,103518301.0,88998195.8
000001.SH,20181211,2594.0881,2587.0148,2596.1464,2583.1959,2584.5821,9.506,0.3678,101304364.0,85404123.4
000001.SH,20181210,2584.5822,2589.194,2599.7615,2576.2424,2605.8876,-21.3054,-0.8176,113199669.0,99148143.0
000001.SH,20181207,2605.8876,2609.3408,2614.5817,2599.2775,2605.1813,0.7063,0.0271,109074993.0,97727662.6
000001.SH,20181206,2605.1813,2629.8196,2633.6778,2603.1323,2649.8051,-44.6238,-1.684,141661650.0,129092979.7
000001.SH,20181205,2649.8051,2629.8328,2660.3888,2625.9132,2665.9577,-16.1526,-0.6059,154502056.0,133730209.0
000001.SH,20181204,2665.9577,2651.5613,2666.0784,2644.8964,2654.7979,11.1598,0.4204,167940558.0,144143400.0
000001.SH,20181203,2654.798,2647.1319,2665.298,2629.1843,2588.1875,66.6105,2.5736,207478955.0,187831789.1
000001.SH,20181130,2588.1875,2564.5644,2590.2102,2555.3223,2567.4434,20.7441,0.808,139329021.0,112219827.2
000001.SH,20181129,2567.4434,2613.7805,2617.5479,2567.4434,2601.7365,-34.2931,-1.3181,157168738.0,129472448.0
000001.SH,20181128,2601.7365,2575.4541,2601.9626,2561.5618,2574.6792,27.0573,1.0509,145963473.0,119578491.7
000001.SH,20181127,2574.6792,2585.8261,2592.5353,2566.1663,2575.8101,-1.1309,-0.0439,123658436.0,102226561.4
000001.SH,20181126,2575.8101,2580.8424,2594.9966,2568.0352,2579.4831,-3.673,-0.1424,134314540.0,108158093.0
000001.SH,20181123,2579.4831,2640.6674,2642.0356,2577.3511,2645.4339,-65.9508,-2.493,191474549.0,149975643.9
000001.SH,20181122,2645.4339,2655.8964,2658.0011,2634.4827,2651.5052,-6.0713,-0.229,149309063.0,125570173.8
000001.SH,20181121,2651.5053,2619.8211,2653.796,2617.7759,2645.8545,5.6508,0.2136,182596447.0,149375782.4
000001.SH,20181120,2645.8545,2684.2874,2690.8299,2643.3588,2703.5116,-57.6571,-2.1327,215891309.0,180870411.8
000001.SH,20181119,2703.5116,2681.8988,2703.5116,2674.1781,2679.1097,24.4019,0.9108,231662827.0,196562706.7
000001.SH,20181116,2679.1097,2669.7799,2695.5689,2657.0341,2668.1704,10.9393,0.41,242198849.0,204983603.9
000001.SH,20181115,2668.1704,2632.1379,2668.1704,2631.8875,2632.2424,35.928,1.3649,207848721.0,171882491.6
000001.SH,20181114,2632.2425,2648.3091,2658.3072,2627.9565,2654.8795,-22.637,-0.8527,238449351.0,176970430.7
000001.SH,20181113,2654.8795,2600.5004,2666.4853,2597.3477,2630.5195,24.36,0.9261,249282447.0,189607223.5
000001.SH,20181112,2630.5195,2593.2004,2631.1696,2590.2106,2598.8715,31.648,1.2178,175031308.0,142351428.4
000001.SH,20181109,2598.8715,2621.238,2621.238,2598.1609,2635.6322,-36.7607,-1.3948,152446307.0,121260494.1
000001.SH,20181108,2635.6322,2660.0873,2662.3688,2632.3012,2641.342,-5.7098,-0.2162,159635487.0,128668816.7
000001.SH,20181107,2641.342,2659.8446,2675.6772,2639.2463,2659.3564,-18.0144,-0.6774,173201986.0,147261808.7
000001.SH,20181106,2659.3564,2660.7193,2660.8627,2635.3207,2665.4306,-6.0742,-0.2279,163669479.0,138800936.4
000001.SH,20181105,2665.4306,2665.427,2673.1879,2639.2707,2676.4762,-11.0456,-0.4127,193760100.0,168588913.4
000001.SH,20181102,2676.4762,2649.2512,2676.4762,2628.8697,2606.2372,70.239,2.695,225026921.0,207861569.0
000001.SH,20181101,2606.2372,2617.0325,2636.7992,2603.6514,2602.7832,3.454,0.1327,200903932.0,180253805.6
000001.SH,20181031,2602.7832,2573.0146,2612.9221,2567.0274,2568.0481,34.7351,1.3526,180550348.0,154894735.3
000001.SH,20181030,2568.0481,2538.5737,2586.9188,2521.7836,2542.1033,25.9448,1.0206,166682309.0,152385935.0
000001.SH,20181029,2542.1033,2593.5908,2595.5365,2529.1883,2598.8467,-56.7434,-2.1834,134241923.0,122500040.5
000001.SH,20181026,2598.8468,2610.8982,2626.116,2580.8452,2603.7995,-4.9527,-0.1902,158936119.0,133415492.8
000001.SH,20181025,2603.7995,2540.9347,2606.1007,2531.5349,2603.295,0.5045,0.0194,162032979.0,137630180.9
000001.SH,20181024,2603.2951,2579.9715,2640.4017,2577.7725,2594.8255,8.4696,0.3264,160060407.0,142082168.7
000001.SH,20181023,2594.8255,2652.6476,2659.8123,2583.2605,2654.8762,-60.0507,-2.2619,178343543.0,166919412.3
000001.SH,20181022,2654.8762,2565.6444,2675.4063,2565.6444,2550.4652,104.411,4.0938,211888449.0,197309813.0
000001.SH,20181019,2550.4652,2460.0808,2553.3867,2449.197,2486.4186,64.0466,2.5759,147323558.0,130095922.3
000001.SH,20181018,2486.4186,2544.911,2544.911,2485.6192,2561.614,-75.1954,-2.9355,125428513.0,106576761.1
000001.SH,20181017,2561.614,2574.3127,2582.5485,2517.5728,2546.3296,15.2844,0.6003,129953997.0,117388355.7
000001.SH,20181016,2546.3296,2567.7643,2597.7152,2536.441,2568.0984,-21.7688,-0.8477,119419144.0,106792245.5
000001.SH,20181015,2568.0984,2605.9124,2611.9685,2564.7375,2606.9125,-38.8141,-1.4889,118576197.0,105214738.3
000001.SH,20181012,2606.9125,2574.0415,2615.9169,2536.6653,2583.4575,23.455,0.9079,170081635.0,142803208.9
000001.SH,20181011,2583.4575,2643.074,2661.2859,2560.3164,2725.8367,-142.3792,-5.2233,197150702.0,170057762.5
000001.SH,20181010,2725.8367,2723.7242,2743.548,2703.0626,2721.013,4.8237,0.1773,113485736.0,111312455.3
000001.SH,20181009,2721.013,2713.7319,2734.3142,2711.1971,2716.5104,4.5026,0.1657,116771899.0,110292457.8
000001.SH,20181008,2716.5104,2768.2075,2771.9384,2710.1781,2821.3501,-104.8397,-3.7159,149501388.0,141531551.8
000001.SH,20180928,2821.3501,2794.2644,2821.7553,2791.8363,2791.7748,29.5753,1.0594,134290456.0,125369989.4
000001.SH,20180927,2791.7748,2805.793,2810.5062,2786.3217,2806.8133,-15.0385,-0.5358,123997696.0,123447711.6
000001.SH,20180926,2806.8133,2785.3165,2827.3413,2783.3419,2781.1385,25.6748,0.9232,139567706.0,145058769.4
000001.SH,20180925,2781.1385,2775.0663,2790.0321,2771.1595,2797.4848,-16.3463,-0.5843,111983179.0,108528047.8
000001.SH,20180921,2797.4848,2733.8742,2797.4851,2722.0319,2729.2438,68.241,2.5004,158016642.0,148976357.2
000001.SH,20180920,2729.2438,2732.1697,2743.9645,2724.0835,2730.8503,-1.6065,-0.0588,111387463.0,104875868.9
000001.SH,20180919,2730.8503,2694.7992,2746.0796,2690.9942,2699.9501,30.9002,1.1445,141550318.0,140107010.3
000001.SH,20180918,2699.9501,2644.2961,2700.1934,2644.2961,2651.7886,48.1615,1.8162,115767993.0,113031888.6
000001.SH,20180917,2651.7886,2671.2907,2671.2907,2647.9153,2681.643,-29.8544,-1.1133,88238888.0,86962599.2
000001.SH,20180914,2681.6431,2688.7787,2694.9201,2675.2896,2686.5784,-4.9353,-0.1837,100005008.0,104992360.0
000001.SH,20180913,2686.5784,2679.2077,2689.0624,2653.1894,2656.1101,30.4683,1.1471,107335014.0,112464143.2
000001.SH,20180912,2656.1101,2659.744,2672.0735,2647.1701,2664.7997,-8.6896,-0.3261,90026758.0,93448206.2
000001.SH,20180911,2664.7997,2668.4872,2680.5727,2652.7044,2669.4845,-4.6848,-0.1755,99865946.0,96884582.2
000001.SH,20180910,2669.4845,2698.0107,2703.4285,2667.3168,2702.3007,-32.8162,-1.2144,103559170.0,102860716.6
000001.SH,20180907,2702.3007,2696.6775,2728.5464,2683.7193,2691.5929,10.7078,0.3978,107523293.0,113840071.3
000001.SH,20180906,2691.5929,2697.5777,2719.4055,2683.7445,2704.3368,-12.7439,-0.4712,99017833.0,106266080.2
000001.SH,20180905,2704.3368,2741.3801,2745.4673,2704.3368,2750.5804,-46.2436,-1.6812,105002269.0,107269446.9
000001.SH,20180904,2750.5804,2720.6477,2756.6071,2712.376,2720.7344,29.846,1.097,109010307.0,113708888.0
000001.SH,20180903,2720.7344,2716.4037,2722.8524,2692.3644,2725.2499,-4.5155,-0.1657,102213011.0,104817688.0
000001.SH,20180831,2725.2499,2730.1132,2744.6311,2710.5368,2737.7367,-12.4868,-0.4561,109758742.0,114813353.9
000001.SH,20180830,2737.7367,2769.3322,2780.5271,2736.346,2769.2947,-31.558,-1.1396,106060943.0,106400401.3
000001.SH,20180829,2769.2947,2774.8646,2778.5393,2762.35,2777.9808,-8.6861,-0.3127,100156929.0,101220664.9
000001.SH,20180828,2777.9808,2782.2927,2791.3898,2769.4013,2780.899,-2.9182,-0.1049,118749367.0,125118576.7
000001.SH,20180827,2780.899,2736.3185,2780.899,2736.3185,2729.4308,51.4682,1.8857,132762578.0,141429679.6
000001.SH,20180824,2729.4308,2717.0812,2748.8243,2705.3237,2724.6244,4.8064,0.1764,100516269.0,102665800.5
000001.SH,20180823,2724.6244,2714.867,2736.0101,2700.8042,2714.6082,10.0162,0.369,98446470.0,107826017.2
000001.SH,20180822,2714.6082,2731.9576,2731.9576,2709.0615,2733.8264,-19.2182,-0.703,93664640.0,98463969.9
000001.SH,20180821,2733.8264,2700.3416,2739.1732,2696.2923,2698.4658,35.3606,1.3104,113586839.0,122260216.3
000001.SH,20180820,2698.4658,2673.0662,2698.4658,2653.1119,2668.966,29.4998,1.1053,110784164.0,114047616.4
000001.SH,20180817,2668.966,2723.8871,2730.3326,2665.5918,2705.1917,-36.2257,-1.3391,112445294.0,115499397.0
000001.SH,20180816,2705.1917,2691.426,2732.9489,2672.7407,2723.2576,-18.0659,-0.6634,120277878.0,117580995.0
000001.SH,20180815,2723.2576,2777.2493,2777.7032,2721.2404,2780.9646,-57.707,-2.0751,116161787.0,118707674.1
000001.SH,20180814,2780.9646,2780.7357,2789.4437,2766.5693,2785.872,-4.9074,-0.1762,109571077.0,112465397.0
000001.SH,20180813,2785.872,2769.0166,2789.7983,2742.5599,2795.3099,-9.4379,-0.3376,127532241.0,129460540.4
000001.SH,20180810,2795.3099,2791.4018,2806.1149,2777.5061,2794.3818,0.9281,0.0332,121532232.0,123112594.3
000001.SH,20180809,2794.3818,2729.5787,2801.6592,2726.2153,2744.0696,50.3122,1.8335,151660333.0,151079880.2
000001.SH,20180808,2744.0696,2771.1286,2779.9124,2741.067,2779.374,-35.3044,-1.2702,147688715.0,139969762.8
000001.SH,20180807,2779.374,2711.7361,2779.374,2696.0391,2705.1565,74.2175,2.7436,149579743.0,147259486.4
000001.SH,20180806,2705.1565,2736.5256,2760.4744,2692.3216,2740.4429,-35.2864,-1.2876,129753058.0,132993799.7
000001.SH,20180803,2740.4429,2763.3957,2777.6572,2740.4317,2768.0239,-27.581,-0.9964,127006363.0,129134687.5
000001.SH,20180802,2768.0239,2815.3438,2815.3438,2726.4825,2824.5337,-56.5098,-2.0007,174179003.0,169769315.4
000001.SH,20180801,2824.5337,2882.5061,2897.3997,2823.9293,2876.4009,-51.8672,-1.8032,149514348.0,151692873.0
000001.SH,20180731,2876.4009,2866.8985,2884.6799,2854.3197,2869.0495,7.3514,0.2562,118931117.0,119528767.9
000001.SH,20180730,2869.0495,2871.9397,2896.0109,2850.296,2873.5938,-4.5443,-0.1581,151652249.0,145988585.4
000001.SH,20180727,2873.5938,2879.6901,2889.6936,2864.1098,2882.2254,-8.6316,-0.2995,146371610.0,132419371.8
000001.SH,20180726,2882.2254,2905.7941,2915.2974,2875.7006,2903.6467,-21.4213,-0.7377,168428202.0,157496681.8
000001.SH,20180725,2903.6467,2911.4529,2912.3134,2894.039,2905.5618,-1.9151,-0.0659,167800207.0,166412077.1
000001.SH,20180724,2905.5618,2862.267,2911.4646,2862.267,2859.5424,46.0194,1.6093,229578307.0,228701875.5
000001.SH,20180723,2859.5424,2815.2008,2863.5711,2809.6163,2829.2712,30.2712,1.0699,173382797.0,186996844.7
000001.SH,20180720,2829.2712,2769.7537,2837.8623,2753.8397,2772.5454,56.7258,2.046,145907688.0,155661124.3
000001.SH,20180719,2772.5454,2791.0156,2805.0106,2764.4858,2787.257,-14.7116,-0.5278,114486493.0,129374568.3
000001.SH,20180718,2787.257,2801.7774,2818.3953,2786.0404,2798.1259,-10.8689,-0.3884,120961165.0,138557147.8
000001.SH,20180717,2798.1259,2806.8853,2806.9194,2774.7624,2814.0418,-15.9159,-0.5656,105409220.0,124035197.8
000001.SH,20180716,2814.0418,2827.0823,2837.5092,2804.4929,2831.1837,-17.1419,-0.6055,107767151.0,129411192.7
000001.SH,20180713,2831.1837,2831.4284,2835.4627,2818.8484,2837.6586,-6.4749,-0.2282,117689348.0,146300880.6
000001.SH,20180712,2837.6586,2771.0408,2844.1932,2771.0408,2777.7711,59.8875,2.156,146980200.0,170319086.5
000001.SH,20180711,2777.7711,2780.7043,2794.3596,2752.435,2827.6252,-49.8541,-1.7631,126821149.0,138318174.3
000001.SH,20180710,2827.6252,2819.7121,2828.4926,2800.6251,2815.1095,12.5157,0.4446,117062748.0,132633113.1
000001.SH,20180709,2815.1095,2752.4466,2815.79,2752.4466,2747.2285,67.881,2.4709,121549309.0,135654524.8
000001.SH,20180706,2747.2285,2731.3532,2768.8737,2691.0208,2733.8819,13.3466,0.4882,136294380.0,148193040.0
000001.SH,20180705,2733.8819,2755.3394,2777.5227,2727.9399,2759.126,-25.2441,-0.9149,129226112.0,132993668.2
000001.SH,20180704,2759.126,2776.6324,2793.179,2754.1552,2786.8878,-27.7618,-0.9962,123262181.0,131016165.0
000001.SH,20180703,2786.8878,2774.5701,2786.8878,2722.4485,2775.557,11.3308,0.4082,142498466.0,161668028.6
000001.SH,20180702,2775.557,2841.5795,2845.6801,2756.815,2847.4181,-71.8611,-2.5237,137035034.0,147562760.0
000001.SH,20180629,2847.4181,2789.8111,2848.3721,2782.3811,2786.8966,60.5215,2.1716,125671685.0,135652377.9
000001.SH,20180628,2786.8966,2799.9039,2825.9872,2782.4464,2813.1775,-26.2809,-0.9342,118357907.0,129687431.4
000001.SH,20180627,2813.1775,2842.3958,2854.2579,2798.7997,2844.5081,-31.3306,-1.1014,129420833.0,142413494.4
000001.SH,20180626,2844.5081,2829.9947,2850.24,2803.7851,2859.3364,-14.8283,-0.5186,125918468.0,138447246.8
000001.SH,20180625,2859.3364,2903.4495,2908.624,2857.8709,2889.7603,-30.4239,-1.0528,121917687.0,132350471.6
000001.SH,20180622,2889.7603,2855.5849,2891.9685,2837.1444,2875.8099,13.9504,0.4851,126143129.0,127161473.9
000001.SH,20180621,2875.8099,2912.0032,2940.5863,2872.6189,2915.7314,-39.9215,-1.3692,154378332.0,159713161.8
000001.SH,20180620,2915.7314,2889.984,2925.5611,2872.1629,2907.8221,7.9093,0.272,144301420.0,153334278.1
000001.SH,20180619,2907.8221,2982.6504,2984.9706,2871.3548,3021.9008,-114.0787,-3.7751,230550067.0,241203641.1
000001.SH,20180615,3021.9008,3037.4522,3048.7967,3008.7324,3044.1597,-22.2589,-0.7312,144532571.0,162196016.4
000001.SH,20180614,3044.1597,3038.0704,3066.0469,3032.4062,3049.7965,-5.6368,-0.1848,115469487.0,147588827.0
000001.SH,20180613,3049.7965,3071.4636,3071.4636,3044.1198,3079.8018,-30.0053,-0.9743,119607886.0,155935263.1
000001.SH,20180612,3079.8018,3053.0279,3081.4473,3034.1012,3052.7831,27.0187,0.8851,113275096.0,154469092.3
000001.SH,20180611,3052.7831,3057.3393,3063.6102,3037.9138,3067.1478,-14.3647,-0.4683,108563786.0,143037323.8
000001.SH,20180608,3067.1478,3100.6038,3100.6848,3053.2879,3109.4988,-42.351,-1.362,134688220.0,161178782.9
000001.SH,20180607,3109.4988,3121.1842,3128.7154,3105.5779,3115.1803,-5.6815,-0.1824,127784970.0,167174304.1
000001.SH,20180606,3115.1803,3109.1746,3117.5251,3103.5329,3114.2055,0.9748,0.0313,120196135.0,162879956.7
000001.SH,20180605,3114.2055,3088.0076,3114.7687,3080.0457,3091.1909,23.0146,0.7445,118735592.0,164806307.5
000001.SH,20180604,3091.1909,3083.4265,3098.402,3076.9936,3075.1372,16.0537,0.522,114593902.0,154671613.3
000001.SH,20180601,3075.1372,3084.7536,3102.088,3059.7857,3095.4737,-20.3365,-0.657,129872199.0,166548881.8
000001.SH,20180531,3095.4737,3061.8291,3098.0764,3054.2685,3041.4434,54.0303,1.7765,140475532.0,185199037.0
000001.SH,20180530,3041.4434,3081.1418,3085.397,3041.0002,3120.4605,-79.0171,-2.5322,155115126.0,191995196.7
000001.SH,20180529,3120.4605,3129.621,3143.2076,3112.1531,3135.0821,-14.6216,-0.4664,135717800.0,177826106.4
000001.SH,20180528,3135.0821,3136.8092,3149.6646,3115.9585,3141.3032,-6.2211,-0.198,128755918.0,168191258.4
000001.SH,20180525,3141.3032,3148.41,3156.7261,3131.0675,3154.6506,-13.3474,-0.4231,128610843.0,166554049.9
000001.SH,20180524,3154.6506,3167.9391,3173.5309,3152.0692,3168.9642,-14.3136,-0.4517,124085800.0,160658185.5
000001.SH,20180523,3168.9642,3205.437,3205.437,3168.9642,3214.3497,-45.3855,-1.412,157807648.0,199358101.0
000001.SH,20180522,3214.3497,3211.247,3214.5888,3192.2277,3213.8404,0.5093,0.0158,144292684.0,185721667.8
000001.SH,20180521,3213.8404,3206.1756,3219.7398,3203.3362,3193.3034,20.537,0.6431,164459413.0,202663464.5
000001.SH,20180518,3193.3034,3151.0818,3193.4531,3144.776,3154.2825,39.0209,1.2371,136516918.0,168038057.5
000001.SH,20180517,3154.2825,3170.0064,3172.7664,3148.6213,3169.5652,-15.2827,-0.4822,113995567.0,150598842.2
000001.SH,20180516,3169.5652,3180.2259,3191.9481,3166.8113,3192.1183,-22.5531,-0.7065,130524968.0,174590979.8
000001.SH,20180515,3192.1183,3180.4245,3192.8069,3164.5181,3174.032,18.0863,0.5698,124549051.0,162990790.0
000001.SH,20180514,3174.032,3167.0418,3183.8159,3163.476,3163.2632,10.7688,0.3404,129327353.0,172410691.1
000001.SH,20180511,3163.2632,3179.7967,3180.7564,3162.2121,3174.4127,-11.1495,-0.3512,130659749.0,167364290.4
000001.SH,20180510,3174.4127,3169.0498,3176.1376,3155.5331,3159.1502,15.2625,0.4831,133000756.0,165440363.9
000001.SH,20180509,3159.1502,3160.1382,3165.3733,3145.6574,3161.4976,-2.3474,-0.0742,122637268.0,153456426.2
000001.SH,20180508,3161.4976,3135.2957,3169.7014,3134.0621,3136.6448,24.8528,0.7923,146927061.0,189011647.4
000001.SH,20180507,3136.6448,3094.8989,3136.8363,3091.6579,3091.0334,45.6114,1.4756,138948186.0,178243870.0
000001.SH,20180504,3091.0334,3093.1169,3104.0925,3086.7845,3100.8586,-9.8252,-0.3169,118711265.0,148436363.4
000001.SH,20180503,3100.8586,3074.5165,3105.6598,3056.1573,3081.1773,19.6813,0.6388,139985620.0,173444959.1
000001.SH,20180502,3081.1773,3087.4086,3097.6039,3064.763,3082.2316,-1.0543,-0.0342,134184566.0,168246153.0
000001.SH,20180427,3082.2316,3082.4148,3088.0347,3049.9139,3075.0301,7.2015,0.2342,131225643.0,179520260.0
000001.SH,20180426,3075.0301,3119.4962,3121.9334,3067.9286,3117.9739,-42.9438,-1.3773,133972736.0,163783774.6
000001.SH,20180425,3117.9739,3112.3978,3122.9082,3107.0008,3128.9271,-10.9532,-0.3501,127311053.0,161298141.7
000001.SH,20180424,3128.9271,3069.7455,3136.0395,3069.7455,3068.012,60.9151,1.9855,162274806.0,195545006.1
000001.SH,20180423,3068.012,3063.4427,3085.0573,3045.9369,3071.5425,-3.5305,-0.1149,131686340.0,157854795.1
000001.SH,20180420,3071.5425,3105.4617,3111.1707,3065.9214,3117.376,-45.8335,-1.4703,155147091.0,185139069.1
000001.SH,20180419,3117.376,3094.2738,3127.4389,3090.2867,3091.3987,25.9773,0.8403,160056805.0,196198984.7
000001.SH,20180418,3091.3987,3091.9095,3096.889,3041.625,3066.7967,24.602,0.8022,159290503.0,202238970.0
000001.SH,20180417,3066.7967,3112.9747,3118.7596,3064.0281,3110.6489,-43.8522,-1.4097,147222846.0,185428029.3
000001.SH,20180416,3110.6489,3152.8882,3153.1063,3096.1003,3159.0521,-48.4032,-1.5322,154415695.0,192233349.2
000001.SH,20180413,3159.0521,3192.0418,3197.8959,3155.5058,3180.1583,-21.1062,-0.6637,127552310.0,163651750.6
000001.SH,20180412,3180.1583,3203.2782,3205.2522,3177.0492,3208.0818,-27.9235,-0.8704,148231313.0,185040054.6
000001.SH,20180411,3208.0818,3197.3719,3220.8453,3191.5865,3190.3216,17.7602,0.5567,175867197.0,211420424.0
000001.SH,20180410,3190.3216,3144.2568,3190.6492,3139.0807,3138.2936,52.028,1.6578,168201359.0,206087413.1
000001.SH,20180409,3138.2936,3125.4415,3146.0926,3110.3025,3131.1114,7.1822,0.2294,139608621.0,177236920.1
000001.SH,20180404,3131.1114,3147.0491,3163.3404,3128.8668,3136.6332,-5.5218,-0.176,146976682.0,193492824.2
000001.SH,20180403,3136.6332,3130.013,3144.3321,3119.1321,3163.179,-26.5458,-0.8392,152216674.0,189692715.2
000001.SH,20180402,3163.179,3169.7787,3192.3403,3159.986,3168.8966,-5.7176,-0.1804,177727777.0,226253566.4
000001.SH,20180330,3168.8966,3161.7856,3177.7208,3152.8888,3160.5306,8.366,0.2647,154646596.0,196006696.9
000001.SH,20180329,3160.5306,3127.2628,3174.5089,3098.2465,3122.2895,38.2411,1.2248,170312384.0,210920223.3
000001.SH,20180328,3122.2895,3130.5711,3165.2126,3117.5336,3166.6488,-44.3593,-1.4008,163500488.0,208617851.7
000001.SH,20180327,3166.6488,3164.7976,3172.7777,3143.5695,3133.7218,32.927,1.0507,189073383.0,227085087.3
000001.SH,20180326,3133.7218,3117.3192,3134.2759,3091.4575,3152.7608,-19.039,-0.6039,186366350.0,215910259.1
